ephemeris,julian_date,target,center,x,y,z,vx,vy,vz
de405,2415057.0000000000000000,1,0,4.1058454982739054e+07,-4.0022021005932882e+07,-2.5702263079776883e+07,2.3729322395496820e+06,2.6777348732077559e+06,1.1829718132892996e+06
de405,2415058.0000000000000000,1,0,4.3349545535274804e+07,-3.7265204669056162e+07,-2.4468550777933169e+07,2.2067932487371531e+06,2.8349577303259503e+06,1.2842061830875184e+06
de405,2415059.0000000000000000,1,0,4.5467056965042844e+07,-3.4354141900796600e+07,-2.3134419724705316e+07,2.0257013933245388e+06,2.9860677408175119e+06,1.3837314302249923e+06
de405,2415060.0000000000000000,1,0,4.7395822789113715e+07,-3.1295445007511199e+07,-2.1701823534477465e+07,1.8292341672332829e+06,3.1300461284644483e+06,1.4810474759085686e+06
de405,2415061.0000000000000000,1,0,4.9120271146252863e+07,-2.8096806547010478e+07,-2.0173250509049971e+07,1.6170063956801251e+06,3.2657492704080297e+06,1.5755836916805676e+06
de405,2415062.0000000000000000,1,0,5.0624472090905041e+07,-2.4767129790155485e+07,-1.8551798221768506e+07,1.3886909208899443e+06,3.3918975621344764e+06,1.6666908020899661e+06
de405,2415063.0000000000000000,1,0,5.1892207979949646e+07,-2.1316669913846206e+07,-1.6841256233783823e+07,1.1440442287096791e+06,3.5070652171956315e+06,1.7536327726525459e+06
de405,2415064.0000000000000000,1,0,5.2907072274365865e+07,-1.7757184562333640e+07,-1.5046196768075276e+07,8.8293777741236507e+05,3.6096719062629598e+06,1.8355790869751412e+06
de405,2415065.0000000000000000,1,0,5.3652602823617108e+07,-1.4102091354957717e+07,-1.3172072679013053e+07,6.0539574546596943e+05,3.6979774590192232e+06,1.9115979918421402e+06
de405,2415066.0000000000000000,1,0,5.4112456355231263e+07,-1.0366628509761771e+07,-1.1225321371109517e+07,3.1163977051320131e+05,3.7700812323695347e+06,1.9806515069985301e+06
de405,2415067.0000000000000000,1,0,5.4270631332702875e+07,-6.5680129372121990e+06,-9.2134723971218634e+06,2.1409593921620472e+03,3.8239281785888798e+06,2.0415932564642341e+06
